#label	reegle_uri	pointmention_pk	sentence_pk	conf
2009 United Nations Climate Change Conference	1679	25203	14615	0.61
Adaptation Framework	1365	17458	10297	1.0
Adaptation Framework	1365	17459	10297	1.0
Adaptation Framework	1365	4557	2646	0.38
Adaptation Framework	1365	4558	2646	0.38
Adaptation Framework	1365	12355	7271	0.35
Adaptation Framework	1365	4063	2375	1.0
Adaptation Framework	1365	489	251	0.55
Adaptation Framework	1365	6144	3586	1.0
Adaptation Framework	1365	19147	11244	0.3
Assigned Amount Unit	3594	12088	7097	0.68
Assigned Amount Unit	3594	26477	15358	1.0
Assigned Amount Unit	3594	1533	864	0.52
Assigned Amount Unit	3594	12841	7570	0.17
Assigned Amount Unit	3594	9328	5470	0.33
Assigned Amount Unit	3594	18332	10821	1.0
Assigned Amount Unit	3594	18333	10821	1.0
Assigned Amount Unit	3594	18334	10821	1.0
Assigned Amount Unit	3594	18335	10821	1.0
Assigned Amount Unit	3594	18159	10703	0.6
Assigned Amount Unit	3594	26476	15357	1.0
Assigned Amount Unit	3594	7722	4560	1.0
Assigned Amount Unit	3594	1534	864	0.52
Assigned Amount Unit	3594	26475	15356	1.0
Assigned Amount Unit	3594	16246	9601	0.27
Bali Roadmap	1527	10469	6138	1.0
Bali Roadmap	1527	10470	6138	1.0
Bali Roadmap	1527	20140	11849	1.0
Bali Roadmap	1527	20141	11849	1.0
Bali Roadmap	1527	20138	11849	1.0
Bali Roadmap	1527	20139	11849	1.0
Bali Roadmap	1527	24611	14308	1.0
Bali Roadmap	1527	26290	15258	1.0
Bali Roadmap	1527	12364	7276	1.0
Bali Roadmap	1527	7904	4680	1.0
Bali Roadmap	1527	7855	4651	1.0
Bali Roadmap	1527	3681	2107	1.0
Bali Roadmap	1527	24649	14325	1.0
Bali Roadmap	1527	24650	14325	1.0
Bali Roadmap	1527	24651	14325	1.0
Bali Roadmap	1527	3673	2100	1.0
Bali Roadmap	1527	6729	3943	1.0
Bali Roadmap	1527	3710	2127	1.0
Bali Roadmap	1527	7837	4638	1.0
Bali Roadmap	1527	10450	6131	1.0
CDM process	954	17298	10209	0.13
CDM process	954	15765	9296	0.16
CDM process	954	15766	9296	0.16
Carbon Fund	2698	12751	7511	0.87
